Date,Open,High,Low,Close,Volume
2021-01-01,2500.0,2537.74,2484.03,2518.63,3234489
2021-01-04,2518.63,2524.68,2509.58,2513.4,8204212
2021-01-05,2513.4,2575.99,2488.95,2572.94,2766891
2021-01-06,2572.94,2627.15,2570.35,2602.56,1103355
2021-01-07,2602.56,2617.45,2567.64,2580.25,6743066
2021-01-08,2580.25,2597.04,2538.75,2544.49,5721339
2021-01-11,2544.49,2565.01,2510.6,2517.64,9242680
2021-01-12,2517.64,2521.21,2421.08,2436.84,6499720
2021-01-13,2436.84,2454.28,2402.91,2414.89,5056518
2021-01-14,2414.89,2430.56,2383.89,2404.32,7397986
2021-01-15,2404.32,2421.06,2386.93,2396.05,3305413
2021-01-18,2396.05,2416.96,2381.41,2410.04,1271836
2021-01-19,2410.04,2441.11,2403.38,2436.73,2007293
2021-01-20,2436.73,2452.59,2425.77,2443.0,8807313
2021-01-21,2443.0,2553.27,2427.21,2528.78,2285160
2021-01-22,2528.78,2578.82,2522.49,2569.4,1048984
2021-01-25,2569.4,2611.43,2548.99,2591.84,3231785
2021-01-26,2591.84,2637.45,2586.54,2626.35,1996107
2021-01-27,2626.35,2636.33,2597.23,2607.47,7245035
2021-01-28,2607.47,2625.04,2576.85,2600.21,1491234
2021-01-29,2600.21,2634.83,2584.47,2614.31,7167294
2021-02-01,2614.31,2622.95,2585.49,2589.02,8558158
2021-02-02,2589.02,2596.31,2559.76,2583.17,8971379
2021-02-03,2583.17,2598.85,2527.28,2545.76,1973548
2021-02-04,2545.76,2569.91,2475.67,2491.59,5574293
2021-02-05,2491.59,2521.0,2475.09,2498.7,3539448
2021-02-08,2498.7,2506.11,2482.91,2494.76,3009021
2021-02-09,2494.76,2509.36,2438.68,2459.0,7700379
2021-02-10,2459.0,2494.29,2442.21,2485.71,3235000
2021-02-11,2485.71,2506.5,2454.52,2476.18,3548421
2021-02-12,2476.18,2483.6,2372.61,2377.56,8205547
2021-02-15,2377.56,2397.52,2371.58,2389.88,1061087
2021-02-16,2389.88,2467.99,2366.59,2457.49,7484531
2021-02-17,2457.49,2471.87,2439.64,2463.93,6725570
2021-02-18,2463.93,2467.21,2408.57,2424.29,4782875
2021-02-19,2424.29,2427.84,2379.82,2388.2,9658144
2021-02-22,2388.2,2453.64,2376.18,2439.55,2119043
2021-02-23,2439.55,2482.83,2428.99,2478.55,8103230
2021-02-24,2478.55,2502.96,2462.09,2473.44,1110078
2021-02-25,2473.44,2530.01,2452.38,2525.44,3008187
2021-02-26,2525.44,2621.37,2515.5,2598.69,7404003
2021-03-01,2598.69,2604.84,2584.12,2601.85,5336787
2021-03-02,2601.85,2620.63,2548.92,2560.39,8613287
2021-03-03,2560.39,2584.35,2549.97,2578.58,1825816
2021-03-04,2578.58,2605.32,2570.7,2586.53,4504473
2021-03-05,2586.53,2611.98,2516.23,2530.53,1686976
2021-03-08,2530.53,2550.69,2520.05,2540.39,4674515
2021-03-09,2540.39,2593.28,2520.02,2570.19,7041495
2021-03-10,2570.19,2611.52,2559.0,2595.36,5327576
2021-03-11,2595.36,2641.05,2589.01,2638.29,8983441
2021-03-12,2638.29,2664.54,2517.82,2524.34,8328141
2021-03-15,2524.34,2534.25,2474.68,2493.93,6134207
2021-03-16,2493.93,2535.9,2479.25,2526.37,5301754
2021-03-17,2526.37,2573.73,2517.81,2562.69,8740141
2021-03-18,2562.69,2588.68,2539.23,2574.83,4438618
2021-03-19,2574.83,2598.13,2560.61,2577.12,5103022
2021-03-22,2577.12,2596.45,2513.85,2522.75,4772962
2021-03-23,2522.75,2542.73,2517.93,2521.45,6130397
2021-03-24,2521.45,2545.9,2492.41,2516.75,7214624
2021-03-25,2516.75,2548.97,2507.31,2544.7,3215167
2021-03-26,2544.7,2556.28,2435.1,2456.22,2414466
2021-03-29,2456.22,2471.28,2441.76,2446.34,8413023
2021-03-30,2446.34,2454.39,2395.43,2404.23,5353127
2021-03-31,2404.23,2472.19,2386.62,2454.34,1498863
2021-04-01,2454.34,2466.07,2380.11,2388.0,6491590
2021-04-02,2388.0,2418.02,2368.46,2404.76,7555968
2021-04-05,2404.76,2408.26,2377.26,2398.8,2172622
2021-04-06,2398.8,2409.3,2369.69,2374.07,1666326
2021-04-07,2374.07,2379.76,2308.4,2331.33,5249913
2021-04-08,2331.33,2394.1,2323.75,2373.34,4503157
2021-04-09,2373.34,2393.4,2294.52,2302.44,2752683
2021-04-12,2302.44,2332.47,2298.37,2317.16,4867500
2021-04-13,2317.16,2334.06,2298.97,2304.14,4379569
2021-04-14,2304.14,2317.15,2250.69,2259.51,2646711
2021-04-15,2259.51,2263.37,2241.69,2244.45,8348340
2021-04-16,2244.45,2248.33,2177.63,2188.25,5294539
2021-04-19,2188.25,2193.52,2141.87,2148.86,1529525
2021-04-20,2148.86,2164.82,2123.23,2138.07,7665088
2021-04-21,2138.07,2216.67,2131.17,2206.13,3164367
2021-04-22,2206.13,2245.74,2201.54,2240.3,9744220
2021-04-23,2240.3,2244.51,2220.21,2232.32,4502630
2021-04-26,2232.32,2304.45,2220.75,2295.01,6738852
2021-04-27,2295.01,2366.99,2291.78,2351.2,4693305
2021-04-28,2351.2,2373.31,2288.09,2300.76,2352695
2021-04-29,2300.76,2304.53,2251.52,2266.89,1049115
2021-04-30,2266.89,2296.92,2245.44,2282.6,6392023
2021-05-03,2282.6,2313.23,2263.66,2308.25,2404330
2021-05-04,2308.25,2393.35,2297.92,2370.89,2086880
2021-05-05,2370.89,2379.1,2323.34,2330.17,3976242
2021-05-06,2330.17,2366.27,2320.78,2350.84,5833177
2021-05-07,2350.84,2358.7,2298.54,2311.17,7374201
2021-05-10,2311.17,2372.73,2295.77,2355.61,1531831
2021-05-11,2355.61,2392.77,2349.49,2384.33,3640328
2021-05-12,2384.33,2421.57,2369.59,2406.85,6063778
2021-05-13,2406.85,2426.07,2332.78,2342.31,5594877
2021-05-14,2342.31,2356.5,2292.19,2299.42,1675510
2021-05-17,2299.42,2332.38,2278.45,2327.89,6781565
2021-05-18,2327.89,2369.19,2317.4,2356.3,4264908
2021-05-19,2356.3,2358.89,2326.37,2347.84,7197323
2021-05-20,2347.84,2387.89,2325.28,2377.92,5246238
2021-05-21,2377.92,2397.3,2365.94,2381.38,2039458
2021-05-24,2381.38,2418.07,2367.13,2402.64,8689684
2021-05-25,2402.64,2450.12,2398.26,2430.41,7837433
2021-05-26,2430.41,2458.46,2415.96,2454.73,1533636
2021-05-27,2454.73,2484.82,2430.88,2466.68,3276360
2021-05-28,2466.68,2548.53,2450.49,2528.67,9914438
2021-05-31,2528.67,2540.22,2451.74,2474.07,9905921
2021-06-01,2474.07,2478.35,2455.5,2459.84,7243669
2021-06-02,2459.84,2479.5,2418.67,2433.33,1448345
2021-06-03,2433.33,2442.99,2413.63,2425.54,5984445
2021-06-04,2425.54,2456.08,2410.38,2437.28,6304509
2021-06-07,2437.28,2448.5,2394.28,2407.04,4693976
2021-06-08,2407.04,2430.31,2391.99,2394.64,5848287
2021-06-09,2394.64,2425.56,2385.3,2411.08,2855567
2021-06-10,2411.08,2423.21,2396.65,2419.19,3373139
2021-06-11,2419.19,2423.71,2413.15,2419.65,9441136
2021-06-14,2419.65,2435.73,2388.92,2403.97,6118922
2021-06-15,2403.97,2479.76,2381.0,2471.04,6528983
2021-06-16,2471.04,2477.69,2404.68,2417.19,8686841
2021-06-17,2417.19,2453.11,2408.98,2445.61,5166500
2021-06-18,2445.61,2467.46,2425.26,2458.15,5885211
2021-06-21,2458.15,2536.02,2452.75,2527.33,9511010
2021-06-22,2527.33,2567.63,2503.59,2555.46,4464442
2021-06-23,2555.46,2615.74,2552.3,2612.06,7285088
2021-06-24,2612.06,2637.84,2596.38,2607.83,9523838
2021-06-25,2607.83,2679.67,2585.76,2667.57,5345760
2021-06-28,2667.57,2676.8,2565.57,2569.44,7189573
2021-06-29,2569.44,2588.01,2519.98,2534.7,3332517
2021-06-30,2534.7,2560.18,2514.9,2541.03,6387408
2021-07-01,2541.03,2579.96,2533.8,2571.81,7195200
2021-07-02,2571.81,2584.33,2553.69,2576.45,5040479
2021-07-05,2576.45,2600.03,2567.65,2596.33,9896761
2021-07-06,2596.33,2671.84,2573.83,2656.74,5834357
2021-07-07,2656.74,2687.2,2651.97,2661.35,5892472
2021-07-08,2661.35,2674.09,2617.59,2638.87,5100673
2021-07-09,2638.87,2761.97,2614.78,2739.38,1327359
2021-07-12,2739.38,2752.91,2643.88,2668.26,3573619
2021-07-13,2668.26,2742.22,2654.76,2726.07,2353038
2021-07-14,2726.07,2817.13,2700.04,2792.66,4463351
2021-07-15,2792.66,2816.62,2713.19,2734.85,2849396
2021-07-16,2734.85,2751.85,2676.8,2687.75,9001482
2021-07-19,2687.75,2693.8,2645.45,2663.47,6106563
2021-07-20,2663.47,2707.51,2644.81,2693.33,2910705
2021-07-21,2693.33,2710.62,2673.5,2681.59,7348564
